accuracy,loss,val_accuracy,val_loss,model_name,images_count,image_size,num_labels,epochs,optimizer,learning_rate,loss.1,batch_size
0.7832589149475098,0.0114301079884171,0.3022321462631225,1.0143965482711792,MobileNet,14000,"(256, 256, 1)",7,100,adam,0.0001,binary_crossentropy,8
0.7848214507102966,0.0115076517686247,0.2933035790920257,1.001022458076477,MobileNet,14000,"(256, 256, 1)",7,100,adam,0.0001,binary_crossentropy,8
0.7895089387893677,0.011990082450211,0.3178571462631225,1.037793517112732,MobileNet,14000,"(256, 256, 1)",7,100,adam,0.0001,binary_crossentropy,8
0.7794643044471741,0.0105682089924812,0.2915178537368774,1.0525834560394287,MobileNet,14000,"(256, 256, 1)",7,100,adam,0.0001,binary_crossentropy,8
0.7915178537368774,0.0100308964028954,0.2964285612106323,1.0810253620147705,MobileNet,14000,"(256, 256, 1)",7,100,adam,0.0001,binary_crossentropy,8
0.1741071492433548,0.5421479940414429,0.1571428626775741,0.559036374092102,MobileNet,3500,"(256, 256, 1)",7,3,adam,0.0001,binary_crossentropy,8
0.1879464238882064,0.5483275651931763,0.1535714268684387,0.5511786937713623,MobileNet,3500,"(256, 256, 1)",7,3,adam,0.0001,binary_crossentropy,8
0.1821428537368774,0.5520002245903015,0.1749999970197677,0.5309165120124817,MobileNet,3500,"(256, 256, 1)",7,3,adam,0.0001,binary_crossentropy,8
0.1861607134342193,0.5451912879943848,0.2000000029802322,0.5637823939323425,MobileNet,3500,"(256, 256, 1)",7,3,adam,0.0001,binary_crossentropy,8
0.1772321462631225,0.5503104329109192,0.1749999970197677,0.547771155834198,MobileNet,3500,"(256, 256, 1)",7,3,adam,0.0001,binary_crossentropy,8
0.1946428567171096,0.5386683344841003,0.1749999970197677,0.5494510531425476,MobileNet,14000,"(256, 256, 1)",7,3,adam,0.0001,binary_crossentropy,8
0.1895089298486709,0.5392432808876038,0.1749999970197677,0.5482515692710876,MobileNet,14000,"(256, 256, 1)",7,3,adam,0.0001,binary_crossentropy,8
0.1880580335855484,0.5395112037658691,0.183482140302658,0.5418734550476074,MobileNet,14000,"(256, 256, 1)",7,3,adam,0.0001,binary_crossentropy,8
0.1859374940395355,0.5427265167236328,0.2004464268684387,0.5488749146461487,MobileNet,14000,"(256, 256, 1)",7,3,adam,0.0001,binary_crossentropy,8
0.1905133873224258,0.5396928191184998,0.1946428567171096,0.5463850498199463,MobileNet,14000,"(256, 256, 1)",7,3,adam,0.0001,binary_crossentropy,8
0.4839285612106323,0.4037548005580902,0.2464285641908645,0.739298939704895,MobileNet,3500,"(224, 224, 3)",7,3,adam,0.0001,binary_crossentropy,8
0.453125,0.4397849142551422,0.2392857074737548,0.685265064239502,MobileNet,3500,"(224, 224, 3)",7,3,adam,0.0001,binary_crossentropy,8
0.8820833563804626,0.0133218960836529,0.5299999713897705,1.309718370437622,MobileNet,7500,"(224, 224, 3)",5,100,adam,0.0001,binary_crossentropy,8
0.8791666626930237,0.0115266293287277,0.5133333206176758,1.3129969835281372,MobileNet,7500,"(224, 224, 3)",5,100,adam,0.0001,binary_crossentropy,8
0.871666669845581,0.0076913451775908,0.5224999785423279,1.246616005897522,MobileNet,7500,"(224, 224, 3)",5,100,adam,0.0001,binary_crossentropy,8
0.8831250071525574,0.0145751032978296,0.4824999868869781,1.3135157823562622,MobileNet,7500,"(224, 224, 3)",5,100,adam,0.0001,binary_crossentropy,8
0.878333330154419,0.0113705396652221,0.5533333420753479,1.2952206134796145,MobileNet,7500,"(224, 224, 3)",5,100,adam,0.0001,binary_crossentropy,8
0.861277163028717,0.0276936385780572,0.542391300201416,1.1422144174575806,MobileNet,11500,"(224, 224, 3)",5,50,adam,0.0001,binary_crossentropy,8
0.8605978488922119,0.0227031130343675,0.4880434870719909,1.3213616609573364,MobileNet,11500,"(224, 224, 3)",5,50,adam,0.0001,binary_crossentropy,8
0.8623641133308411,0.0242929495871067,0.51902174949646,1.050508737564087,MobileNet,11500,"(224, 224, 3)",5,50,adam,0.0001,binary_crossentropy,8
0.868342399597168,0.0194967687129974,0.5581521987915039,1.17879056930542,MobileNet,11500,"(224, 224, 3)",5,50,adam,0.0001,binary_crossentropy,8
0.8619565367698669,0.0227627381682395,0.4951086938381195,1.2678706645965576,MobileNet,11500,"(224, 224, 3)",5,50,adam,0.0001,binary_crossentropy,8
0.859103262424469,0.0278528966009616,0.4760869443416595,1.38552987575531,Xception,11500,"(224, 224, 3)",5,50,adam,0.001,binary_crossentropy,8
0.2995535731315613,0.4761763215065002,0.2886904776096344,0.4804557859897613,Xception,10500,"(256, 256, 1)",7,5,adam,0.001,binary_crossentropy,8
0.2331845164299011,0.492392897605896,0.2494047582149505,0.4863787591457367,Xception,10500,"(256, 256, 1)",7,5,adam,0.001,binary_crossentropy,8
0.2855654656887054,0.4769876301288605,0.184523805975914,0.5401362776756287,Xception,10500,"(256, 256, 1)",7,5,adam,0.001,binary_crossentropy,8
0.2910714149475097,0.4763848781585693,0.2946428656578064,0.4958287477493286,Xception,10500,"(256, 256, 1)",7,5,adam,0.001,binary_crossentropy,8
0.278124988079071,0.4768693745136261,0.2589285671710968,0.51173996925354,Xception,10500,"(256, 256, 1)",7,5,adam,0.001,binary_crossentropy,8
0.8697916865348816,0.0216786880046129,0.4975000023841858,1.3566765785217283,Xception,7500,"(256, 256, 1)",5,50,adam,0.001,binary_crossentropy,8
